Date,Open,High,Low,Close,Adj Close,Volume,Industry,Market Cap,52-Week High,52-Week Low,SMA_50,SMA_200
2001-07-02,148.99989318847656,148.99989318847656,148.99989318847656,148.99989318847656,69.37027740478516,37498,Thermal Coal,171972691952.2793,148.99989318847656,148.99989318847656,148.99989318847656,148.99989318847656
2001-07-03,135.34994506835938,135.34994506835938,135.34994506835938,135.34994506835938,63.015228271484375,39254,Thermal Coal,156218195267.80078,148.99989318847656,135.34994506835938,142.17491912841797,142.17491912841797
2001-07-04,136.2499542236328,136.2499542236328,136.2499542236328,136.2499542236328,63.43425369262695,19972,Thermal Coal,157256967805.83398,148.99989318847656,135.34994506835938,140.1999308268229,140.1999308268229
2001-07-05,134.8749542236328,134.8749542236328,134.8749542236328,134.8749542236328,62.794090270996094,22628,Thermal Coal,155669970349.83398,148.99989318847656,134.8749542236328,138.8686866760254,138.8686866760254
2001-07-06,130.6499481201172,130.6499481201172,130.6499481201172,130.6499481201172,60.82703399658203,32846,Thermal Coal,150793552940.47852,148.99989318847656,130.6499481201172,137.22493896484374,137.22493896484374
2001-07-09,130.6249542236328,130.6249542236328,130.6249542236328,130.6249542236328,60.815406799316406,4368,Thermal Coal,150764705485.83398,148.99989318847656,130.6249542236328,136.12494150797525,136.12494150797525
2001-07-10,129.8999481201172,129.8999481201172,129.8999481201172,129.8999481201172,60.477867126464844,7850,Thermal Coal,149927917964.47852,148.99989318847656,129.8999481201172,135.23565673828125,135.23565673828125
2001-07-11,129.7749481201172,129.7749481201172,129.7749481201172,129.7749481201172,60.419654846191406,20462,Thermal Coal,149783645468.47852,148.99989318847656,129.7749481201172,134.55306816101074,134.55306816101074
2001-07-12,128.72494506835938,128.72494506835938,128.72494506835938,128.72494506835938,59.93081283569336,6190,Thermal Coal,148571752979.80078,148.99989318847656,128.72494506835938,133.90549892849393,133.90549892849393
2001-07-13,127.7999496459961,127.7999496459961,127.7999496459961,127.7999496459961,59.50015640258789,9060,Thermal Coal,147504141792.81738,148.99989318847656,127.7999496459961,133.29494400024413,133.29494400024413
2001-07-16,128.824951171875,128.824951171875,128.824951171875,128.824951171875,59.97737121582031,24994,Thermal Coal,148687178021.15625,148.99989318847656,127.7999496459961,132.88858101584694,132.88858101584694
2001-07-17,128.6499481201172,128.6499481201172,128.6499481201172,128.6499481201172,59.89589309692383,26434,Thermal Coal,148485193004.47852,148.99989318847656,127.7999496459961,132.53536160786948,132.53536160786948
2001-07-18,127.24994659423828,127.24994659423828,127.24994659423828,127.24994659423828,59.24409103393555,44214,Thermal Coal,146869339288.13965,148.99989318847656,127.24994659423828,132.12879122220554,132.12879122220554
2001-07-19,123.99994659423828,123.99994659423828,123.99994659423828,123.99994659423828,57.73098373413086,54938,Thermal Coal,143118254392.13965,148.99989318847656,123.99994659423828,131.54815946306502,131.54815946306502
2001-07-20,124.27494812011719,124.27494812011719,124.27494812011719,124.27494812011719,57.859004974365234,57270,Thermal Coal,143435655644.47852,148.99989318847656,123.99994659423828,131.0632787068685,131.0632787068685
2001-07-23,124.27494812011719,124.27494812011719,124.27494812011719,124.27494812011719,57.859004974365234,0,Thermal Coal,143435655644.47852,148.99989318847656,123.99994659423828,130.63900804519653,130.63900804519653
2001-07-24,119.4749526977539,119.4749526977539,119.4749526977539,119.4749526977539,55.62427520751953,52894,Thermal Coal,137895597081.49512,148.99989318847656,119.4749526977539,129.98229890711167,129.98229890711167
2001-07-25,118.2249526977539,118.2249526977539,118.2249526977539,118.2249526977539,55.042301177978516,64808,Thermal Coal,136452872121.49512,148.99989318847656,118.2249526977539,129.3291130065918,129.3291130065918
2001-07-26,116.5499496459961,116.5499496459961,116.5499496459961,116.5499496459961,54.262474060058594,43852,Thermal Coal,134519617152.81738,148.99989318847656,116.5499496459961,128.6565254612973,128.6565254612973
2001-07-27,109.62494659423828,109.62494659423828,109.62494659423828,109.62494659423828,51.03837203979492,48892,Thermal Coal,126526917352.13965,148.99989318847656,109.62494659423828,127.70494651794434,127.70494651794434
2001-07-30,99.77494812011719,99.77494812011719,99.77494812011719,99.77494812011719,46.45249557495117,40578,Thermal Coal,115158246428.47852,148.99989318847656,99.77494812011719,126.37494659423828,126.37494659423828
2001-07-31,99.4749526977539,99.4749526977539,99.4749526977539,99.4749526977539,46.312808990478516,35840,Thermal Coal,114811997721.49512,148.99989318847656,99.4749526977539,125.15221959894353,125.15221959894353
2001-08-01,101.1749496459961,101.1749496459961,101.1749496459961,101.1749496459961,47.104278564453125,25570,Thermal Coal,116774100144.81738,148.99989318847656,99.4749526977539,124.1097296009893,124.1097296009893
2001-08-02,100.99994659423828,100.99994659423828,100.99994659423828,100.99994659423828,47.02281188964844,52270,Thermal Coal,116572115128.13965,148.99989318847656,99.4749526977539,123.14682197570801,123.14682197570801
2001-08-03,99.14994812011719,99.14994812011719,99.14994812011719,99.14994812011719,46.161502838134766,65346,Thermal Coal,114436883948.47852,148.99989318847656,99.14994812011719,122.18694702148437,122.18694702148437
2001-08-06,96.89994812011719,96.89994812011719,96.89994812011719,96.89994812011719,45.113956451416016,72120,Thermal Coal,111839979020.47852,148.99989318847656,96.89994812011719,121.21437014066257,121.21437014066257
2001-08-07,94.7249526977539,94.7249526977539,94.7249526977539,94.7249526977539,44.10134506225586,76728,Thermal Coal,109329642873.49512,148.99989318847656,94.7249526977539,120.23328060574002,120.23328060574002
2001-08-08,91.824951171875,91.824951171875,91.824951171875,91.824951171875,42.751182556152344,75264,Thermal Coal,105982519205.15625,148.99989318847656,91.824951171875,119.2186974116734,119.2186974116734
2001-08-09,90.074951171875,90.074951171875,90.074951171875,90.074951171875,41.936431884765625,86566,Thermal Coal,103962704261.15625,148.99989318847656,90.074951171875,118.21374064478381,118.21374064478381
2001-08-10,88.2999496459961,88.2999496459961,88.2999496459961,88.2999496459961,41.11003875732422,76678,Thermal Coal,101914033056.81738,148.99989318847656,88.2999496459961,117.21661427815755,117.21661427815755
2001-08-13,87.9749526977539,87.9749526977539,87.9749526977539,87.9749526977539,40.9587287902832,64324,Thermal Coal,101538928089.49512,148.99989318847656,87.9749526977539,116.27333487233808,116.27333487233808
2001-08-14,86.199951171875,86.199951171875,86.199951171875,86.199951171875,40.1323356628418,77286,Thermal Coal,99490256885.15625,148.99989318847656,86.199951171875,115.33354163169861,115.33354163169861
